iso3,country_display,year,wealth_pc,human_capital_pc,natural_capital_pc,produced_capital_pc,net_foreign_assets_pc,region,income_group,gini_index,population_total,gdp_per_capita_current_usd,education_expenditure_pct_gdp,lower_secondary_completion_rate,tertiary_enrolment_rate,school_life_expectancy,log_wealth_pc,human_capital_share,natural_capital_share,produced_capital_share
KGZ,Kyrgyz Republic,2006,6492.67762748253,2133.86568221531,3092.3156274990592,1619.28644501023,-352.79012724206603,Europe & Central Asia,Lower middle income,37.4,5218373,543.113512472219,5.54986000061035,86.99132,43.5889,12.68755,8.778430302035591,0.3286572666388019,0.4762774012388589,0.2494019475348712
KGZ,Kyrgyz Republic,2007,8431.75192571763,2648.59966811382,3968.5548876040366,2174.47892796804,-359.881557968264,Europe & Central Asia,Lower middle income,33.9,5268385,721.771577544361,6.4670000076294,86.5416,42.9412,12.66929,9.039759849774065,0.3141221055182309,0.4706678899671578,0.2578917106580989
KGZ,Kyrgyz Republic,2008,9809.2399921719,3220.44314313963,4218.03415410627,2914.88061847875,-544.117923552747,Europe & Central Asia,Lower middle income,31.5,5318729,966.388569370494,5.91318988800049,83.98586,46.72306,,9.191080076792888,0.3283071008263281,0.4300062142910563,0.2971566217979091
KGZ,Kyrgyz Republic,2009,8761.82895629852,2900.75237168718,3633.0390208562594,2666.98765013334,-438.9500863782391,Europe & Central Asia,Lower middle income,29.9,5389643,870.198894546917,6.23267984390259,85.32238,44.34661,12.48821,9.078159947103474,0.3310669936785228,0.4146439104183398,0.3043870935435406
KGZ,Kyrgyz Republic,2010,9563.40758427801,2876.37817480523,4092.85245871165,2935.59290920384,-341.415958442704,Europe & Central Asia,Lower middle income,30.1,5467059,876.954476440354,5.81883001327515,90.19204,42.1598,12.41544,9.16569938440522,0.3007691713917872,0.427970095663411,0.3069609742483294
KGZ,Kyrgyz Republic,2011,11970.7405125127,3497.05130523933,5573.4369491547295,3421.77693805913,-521.524679940519,Europe & Central Asia,Lower middle income,27.8,5546587,1117.40174350185,6.79061985015869,92.06856,41.3146,12.34677,9.390220660674666,0.2921332478624822,0.4655883187283997,0.2858450514805192
KGZ,Kyrgyz Republic,2012,10364.8824774488,3910.15057933,3841.554088810682,3319.59099235844,-706.413183050363,Europe & Central Asia,Lower middle income,27.4,5652076,1168.62244675446,7.38423013687134,89.07801,43.95517,12.68334,9.246178686402205,0.3772498711719537,0.3706317073221883,0.3202729022331877
KGZ,Kyrgyz Republic,2013,11118.0902482807,3919.37789502658,4855.163765476037,3222.98071589889,-879.432128120853,Europe & Central Asia,Lower middle income,28.8,5777150,1269.66303464348,6.78020000457764,88.74335,47.48235,12.9312,9.316328812793,0.3525225832406489,0.4366904438670876,0.2898861804433807
KGZ,Kyrgyz Republic,2014,9314.44780289987,3949.63622692702,4251.157641555639,2085.46440481393,-971.810470396706,Europe & Central Asia,Lower middle income,26.8,5905848,1264.52668823891,5.53159999847412,91.73119,45.87522,13.01056,9.139322000859842,0.42403332011774,0.4564046878046947,0.2238956563978663
KGZ,Kyrgyz Republic,2015,8288.8471846208,3397.61946977561,3614.510466773428,2383.83672296643,-1107.1194748946618,Europe & Central Asia,Lower middle income,29.0,6040036,1105.65193844261,5.98550987243652,90.7403,46.66787,12.96703,9.02266617749696,0.4099025345864239,0.4360691404083094,0.2875956897105573
