year,region,median_log_wealth_pc,median_school_life_expectancy,median_tertiary_enrolment_rate,median_human_capital_share,median_natural_capital_share,median_produced_capital_share,n_countries
2007,Europe & Central Asia,11.841445497320796,15.29293,59.218244999999996,0.5841732739450035,0.082217587475462,0.3422621864970184,41
2007,Latin America & Caribbean,10.759647216396996,13.00392,28.71703,0.5876070502576966,0.155052911354472,0.2302951176026795,13
2007,Middle East & North Africa,10.537399858940041,12.316165,30.34102,0.5998559332359011,0.3152370316469525,0.13682149863622484,12
2007,North America,13.241869126566463,15.51869,73.654305,0.6144146943439301,0.058144546271523045,0.33693154277026904,2
2007,South Asia,8.79104795110459,9.97634,9.953705,0.5444859967486613,0.3760499408447396,0.1114513416400041,4
2007,Sub-Saharan Africa,9.27950008587587,9.434325000000001,4.329644999999999,0.4103821232307494,0.5157170638410892,0.07622248492647875,23
2008,East Asia & Pacific,10.026169940295077,11.83648,20.68412,0.4890149968855224,0.4193812431667794,0.0992740870119041,11
2008,Europe & Central Asia,11.93596529931628,15.38848,60.97354,0.6051664857261682,0.0957184310065167,0.3133517503825517,41
2008,Latin America & Caribbean,10.902766770316354,12.992435,34.06596,0.6416486111091977,0.1579023937402904,0.2210264163756085,15
2008,Middle East & North Africa,10.709578941891687,12.54397,30.39502,0.5856558478218795,0.34379787255771144,0.1263251203495753,12
2008,North America,13.275731674855596,15.562945,74.38872500000001,0.5948881944853005,0.0798010767262305,0.3404580264513962,2
2008,South Asia,8.897054423640997,10.40861,11.164045,0.5134335096205929,0.40866872453664826,0.10260517453641646,4
2008,Sub-Saharan Africa,9.02926942012887,8.13427,4.881375,0.4173892221800385,0.5420508591826854,0.0670964033510657,25
2009,East Asia & Pacific,9.86781183991168,12.434619999999999,22.98912,0.5578569741634759,0.3606012842976733,0.0935064867679034,11
2009,Europe & Central Asia,11.643023958814592,15.57306,62.64161,0.6148179931472872,0.09122516816830595,0.3409508781903847,40
2009,Latin America & Caribbean,10.905541156483249,13.00896,31.62919,0.6262853218095592,0.12275599849833704,0.256062737701616,12
2009,Middle East & North Africa,10.590651252281976,12.70824,31.047985,0.6021085504939765,0.3666078562470033,0.12083677322566265,12
2009,North America,13.166465197766772,15.641535000000001,75.34388,0.6107609855946462,0.0445897411212761,0.3597232816346553,2
2009,South Asia,8.669380802620493,10.41897,11.15701,0.5561295010063535,0.3690361698020462,0.0849106937536208,3
2009,Sub-Saharan Africa,9.193983861826746,8.85679,5.63503,0.41193626336815603,0.519175780706915,0.06944006849517205,27
2010,East Asia & Pacific,10.327231776013104,12.85532,26.881165,0.5742245268289239,0.34917995361487003,0.09252194218019386,10
2010,Europe & Central Asia,11.633149779042693,15.573515,63.72239,0.6248144212933076,0.09181938347602944,0.31640391838306003,42
2010,Latin America & Caribbean,10.998050989074198,12.81746,27.56347,0.6629519230529889,0.1407445177582158,0.2330980690011081,13
2010,Middle East & North Africa,11.19328363012846,12.901025,35.41903,0.6089041944659745,0.3341566258834019,0.1118057422723282,11
2010,North America,13.245253724362513,15.587064999999999,77.1389,0.6110795847139291,0.05618703156644885,0.3487033289436896,2
2010,South Asia,9.32937626244055,11.92319,16.33612,0.567483661022531,0.382816764168196,0.0787406066569972,3
2010,Sub-Saharan Africa,9.282554756748915,8.271725,5.9299,0.4109687249890193,0.5323600075767788,0.0559378781360287,30
2011,East Asia & Pacific,10.53411754794405,12.71901,28.549605,0.5566988449756447,0.3937543136220598,0.07994167612378365,10
2011,Europe & Central Asia,11.857941897897684,15.72853,67.79859,0.6205542714345196,0.11258450455863811,0.31267963800942433,40
